"Mo","Nb","Ta","V","W","sph_1","sph_2","sph_3","sph_4","alloy_cnt","m_log_max_strain","m_bc_1","m_bc_2","m_bc_3","m_bc_4","var_log_max_strain","var_bc_1","var_bc_2","var_bc_3","var_bc_4"
0.9,0.1,0,0,0,0.321750554396642,0,0,0,3,-1.33171741491704,0.924278545994819,0.929584006794723,0.417229577590165,0.279819438497157,0.000436260517057897,0.000545183863150363,0.000452685596111397,0.00107692442851652,0.00139822539592366
0.9,0,0.1,0,0,0.321750554396642,1.5707963267949,0,0,4,-1.29577479918324,0.748338091327845,0.879083216871988,0.510697844915707,0.119547144592815,0.00204690644362397,0.00264987651563089,0.00193472385775696,0.00652494863539004,0.00491121405297807
0.9,0,0,0.1,0,0.321750554396642,1.5707963267949,1.5707963267949,0,5,-1.2421179865338,0.889535302003384,0.936774210431989,0.563205592018242,0.339954051387116,0.00041781586453359,0.000587195750518223,0.000392591820506343,0.000931315171712841,0.000277522376716643
0.9,0,0,0,0.1,0.321750554396642,1.5707963267949,1.5707963267949,1.5707963267949,6,-1.35612977625471,1.36970576206731,1.43919609387687,0.318281689400519,0.222497873636702,0.00278734183010686,0.00458308227174964,0.00309908912807141,0.0094722754578562,0.00190534229360762
0.8,0.2,0,0,0,0.463647609000806,0,0,0,9,-1.2362549203757,0.638621994243894,0.713709574198642,0.249481003531698,0.0356030550238966,0.000936095212333982,0.00113950515013583,0.000669205011015713,0.00411279391621946,0.00389122001402288
0.8,0,0.2,0,0,0.463647609000806,1.5707963267949,0,0,10,-1.05737697157258,0.371425322255625,0.525930770769009,0.232206951819374,-0.391619017973098,0.00241170375908216,0.00266252487883654,0.00152021539820448,0.014325551217937,0.016457770091027
0.8,0,0,0.2,0,0.463647609000806,1.5707963267949,1.5707963267949,0,11,-0.896524543733838,0.653689430018425,0.747263157596556,0.365991644258499,0.114769005531048,0.000794746009544471,0.00102556246325152,0.000648673727033989,0.00306443921297982,0.00181456283406117
0.8,0,0,0,0.2,0.463647609000806,1.5707963267949,1.5707963267949,1.5707963267949,12,-1.39268134434946,1.33133684031106,1.4376698947656,0.319484664743781,0.213900664530952,0.00213573253412111,0.00350050495393037,0.00253666399266136,0.00573979557540704,0.000674747569622555
0.7,0.3,0,0,0,0.579639740363704,0,0,0,13,-1.07436663221166,0.136599726761499,0.245317366816718,0.182370224324366,-0.57963025461616,0.00243163652272229,0.00231602331340937,0.00121408535819002,0.0140713295204347,0.00599958469423396
0.7,0,0.3,0,0,0.579639740363704,1.5707963267949,0,0,14,-0.912865308245513,0.104258969397477,0.0632153124998442,0.0999681100818172,-0.447282729105319,0.00080102870890603,0.000704840418745013,0.000467232455035196,0.00360777021512913,0.00375688439959177
0.7,0,0,0.3,0,0.579639740363704,1.5707963267949,1.5707963267949,0,15,-0.587644423941892,0.464149918447459,0.532393669418162,0.258702089599074,0.0830119598426381,0.00122789601555091,0.00131132439264432,0.000758637931384508,0.00542522934610122,0.00183081357506535
0.7,0,0,0,0.3,0.579639740363704,1.5707963267949,1.5707963267949,1.5707963267949,16,-1.42947600824579,1.29070082130094,1.42169841387023,0.312690937604372,0.080459531541626,0.000460052557587027,0.000726657526450334,0.000427985049701376,0.00280804140397367,0.00112353738359676
0.6,0.4,0,0,0,0.684719203002283,0,0,0,19,-0.891486678068004,-0.0120723801581543,0.0940925188338765,-0.101903685394544,-0.637245338801316,0.00571956070423264,0.00561301165241067,0.00215625751266089,0.0374815993466487,0.0110195289379691
0.6,0,0.4,0,0,0.684719203002283,1.5707963267949,0,0,20,-0.628331204367803,-0.0485202260726383,-0.261594306174629,-0.304884243701196,-0.593051582142746,0.00278324397266658,0.0019319046162681,0.00068658951361602,0.0248190354734421,0.030065599803508
0.6,0,0,0.4,0,0.684719203002283,1.5707963267949,1.5707963267949,0,21,-0.272064257022878,0.289698625610812,0.362143971165206,0.244316325511155,0.046153854358956,0.00164869999764159,0.00150937939745567,0.000995508434562103,0.00617454180516711,0.0040783405950483
0.6,0,0,0,0.4,0.684719203002283,1.5707963267949,1.5707963267949,1.5707963267949,22,-1.39864148430834,1.33993020663747,1.48511428009556,0.205142111922254,0.0152975954620134,1.7059856632503e-27,1.32027069980747e-06,1.41006694495882e-06,6.34149931851913e-06,0.000292027211089715
0.5,0.5,0,0,0,0.785398163397448,0,0,0,31,-0.726224739435862,-0.42804460184894,-0.316603142556654,-0.200799985130349,-0.667187040201127,0.0020285606271593,0.00146309564549098,0.000553262374521032,0.0127514361103108,0.00288428488974711
0.5,0,0.5,0,0,0.785398163397448,1.5707963267949,0,0,32,-0.273959590203906,-0.362539856665576,-0.438428964121832,-0.460468913282281,-1.60331173599835,0.0250763188725548,0.0147633893773198,0.00324660198172924,0.308418020769657,0.310243019804341
0.5,0,0,0.5,0,0.785398163397448,1.5707963267949,1.5707963267949,0,33,-0.0847379098552146,0.0481226450138352,0.124918614852499,0.412637090416579,0.351776160879848,0.00232590955336036,0.0021656363828429,0.00128121036661798,0.00776582062062172,0.00486335664653744
0.5,0,0,0,0.5,0.785398163397448,1.5707963267949,1.5707963267949,1.5707963267949,34,-1.41709251711723,1.35629162944286,1.49700681266873,0.142059381029581,0.00790297487070448,1.71510686746692e-27,4.70244341246468e-06,1.96710443332466e-06,0.000381689846619365,0.0004382767587562
0.4,0.6,0,0,0,0.886077123792614,0,0,0,38,-0.523613706415366,-0.552865116567438,-0.567138595618755,-0.526210829716127,-0.741128378388594,0.0142178139328902,0.00816350572397605,0.00239042261840363,0.104863178727886,0.0504558858355144
0.4,0,0.6,0,0,0.886077123792614,1.5707963267949,0,0,39,0.573572121691616,-0.23438541799659,-0.424600861959332,-2.65123007708366,-3.19396783688749,0.0177601725375295,0.0081097437703708,0.000193854130357063,0.345356368516457,0.0814903155982335
0.4,0,0,0.6,0,0.886077123792614,1.5707963267949,1.5707963267949,0,40,0.178967990759099,-0.0823025957105844,-0.0165081401267652,0.407562314422787,0.574589347950946,0.00576655473414561,0.00485253586730886,0.00304590018548888,0.0163164694656984,0.0066853906009548
0.4,0,0,0,0.6,0.886077123792614,1.5707963267949,1.5707963267949,1.5707963267949,41,-1.4235478102248,1.41858267700643,1.52987615428124,0.10635891600569,0.066253391018216,0.00357093165653871,0.00593333710065146,0.0037103558086662,0.0154274068216528,0.00521776899728686
0.3,0.7,0,0,0,0.991156586431192,0,0,0,49,-0.216672657322917,-0.557571992595871,-0.730365505726576,-0.887389860352214,-0.716066322579375,0.00580055290919383,0.00314110952389814,0.000763789647118583,0.0446022500803913,0.0163953565162347
0.3,0,0.7,0,0,0.991156586431192,1.5707963267949,0,0,50,1.3160978869029,0.0351612680332121,-0.40210670860429,-4.1434671556712,-2.44287596119401,0.00148452210120696,0.000615079535000977,2.9660852963242e-06,0.0210462465007218,0.00611690303372077
0.3,0,0,0.7,0,0.991156586431192,1.5707963267949,1.5707963267949,0,51,0.212350968018133,-0.328438806300944,-0.294332244304377,0.578520180765779,1.12840478145458,0.00602337072909637,0.00494946380858414,0.00312411866178378,0.00981592915878065,0.00144066442092606
