"Mo","Nb","Ta","V","W","alloy_cnt","m_log_max_strain","m_bc_1","m_bc_2","m_bc_3","m_bc_4","m_bc_5","m_bc_6","var_log_max_strain","var_bc_1","var_bc_2","var_bc_3","var_bc_4","var_bc_5","var_bc_6"
0,0.1,0,0,0.9,99,-1.23761893883382,1.41589206051014,1.40338637728489,-0.069811402441146,0.0539456158422472,-0.395589482165762,0.139742501187524,-5.90648073943148,-5.40364797787958,-5.84591687614834,-4.41061618930218,-4.98458544126487,-3.12498952744887,-2.29707228126701
0,0,0.9,0.1,0,101,1.44958602909137,-0.25006287562073,0.0659993663374848,1.63230675499148,-1.11410486697839,-0.161851370688321,0.662000061930227,-4.813115021438,-4.70393056015254,-5.13892677914828,-3.67029521703307,-3.97832201277408,-6.15954187248858,-6.82481244459373
0,0,0.9,0,0.1,102,1.28282125406462,0.331871083169236,0.372581968917898,-0.324844123943092,-1.58189905958398,0.691828708749831,0.743254597457572,-5.73774045066675,-5.69696875759132,-6.5163495138364,-3.7308898922748,-5.42282712003426,-4.54098382941517,-4.63857126361863
0,0,0.7,0.3,0,105,1.55310554980422,-1.30365205551598,-1.05946133194441,1.96599803545707,-0.667857018154048,-1.42115277401593,0.677898818270394,-7.81613627566843,-8.12088728400606,-8.71683927870057,-6.97193938705307,-6.50982772652839,-6.58987477827016,-8.55669269668346
0,0,0.7,0,0.3,106,0.770704126363211,0.119013572920276,-0.0820065002996222,-2.21067630439275,-2.67158315637833,-0.0334767892897414,1.17054217284711,-6.04608245496557,-6.53418844741039,-8.89265467203719,-3.15975764349404,-4.35631086897102,-3.30846849603387,-3.15353346745627
0,0,0.5,0.5,0,109,1.3099077186837,-1.96082824315908,-1.78896298543219,2.04702306618542,0.702910984212384,-1.18422263497399,0.0670108191391279,-4.39708303625598,-5.37658137898238,-5.64348213494865,-4.7131095545332,-4.33543241369781,-4.17677747351002,-5.43508369283705
0,0,0.5,0,0.5,110,-0.107356976813424,0.10420318869374,0.113189019926282,-0.973595610701597,-1.70811995203427,-1.76754747467367,-1.34998827469438,-62.7391355051327,-13.4839847263045,-11.8394135003964,-9.96266008826157,-9.00602043903809,-7.03885962484815,-3.06865360099527
0,0,0.3,0.7,0,114,0.710211331264627,-1.99862055926535,-1.93823402334826,1.40774424003073,1.41302958745928,-0.561602745638851,0.189423287141211,-5.48582433886596,-6.5486665637908,-7.1590245459285,-5.99544627603802,-9.03304361807521,-6.67012481011162,-9.45775806839891
0,0,0.3,0,0.7,115,-0.808866415037323,0.53953407328839,0.567970151792294,-0.12819382564198,-0.480601031965363,-0.835371910466664,-0.353380943105128,-61.6818590340009,-13.0370330917262,-12.1816088213806,-8.55754123390319,-6.8280445362424,-6.01083962459654,-4.27484988666286
0,0,0.1,0.9,0,118,0.166578476640415,-1.326798084203,-1.37510121058691,0.551803177607513,1.48538196874853,0.0242941125311456,0.148217207637626,-4.24935877768684,-5.0345133314622,-5.61113219982999,-4.25491197338471,-6.4754399613548,-10.1373794824266,-5.64002853446758
0,0,0.1,0,0.9,119,-1.18563420641335,1.40991585703636,1.39796805125405,-0.00298514222765268,0.0928541030069967,-0.537963594656789,0.075962489843863,-7.0351384823068,-6.54414522893933,-7.00784101634644,-5.40528064329748,-6.50491728914342,-5.22465477120069,-4.46170548190587
0,0,0,0.9,0.1,121,0.35887336703954,-0.560306942104503,-0.657028064078838,0.217598935214609,1.39915355090173,0.256619670258116,0.108780180451007,-4.83463742286533,-5.22005171117702,-5.72035554712259,-4.66791056796506,-5.96274776430686,-6.52459272648221,-3.56219253634932
0,0,0,0.7,0.3,123,0.45176753941231,-0.175593443195155,-0.164955404634673,0.215791788216316,0.798188748952029,-0.25589376460919,-0.408503784748422,-5.52756076266096,-5.64818298492581,-6.26218746186747,-4.48389003817179,-7.3154929504471,-5.39824198958289,-3.42348864287423
0,0,0,0.5,0.5,125,0.0891582318610566,0.270007971658096,0.220338355307151,-0.264284516781615,0.101664382651969,-0.771483042251146,0.232994369640061,-6.63604722973356,-6.67162044180293,-7.45262643190549,-4.72870461471738,-5.77598297793942,-6.49337815070418,-4.44575047130417
0,0,0,0.3,0.7,127,-0.478794473621635,0.71587671249945,0.648788290655537,-0.48234768846865,-0.187223080435667,-0.736617434551073,0.249370096012383,-7.38487208744813,-7.11696143895326,-7.8903080392161,-5.43091220648864,-6.16679018497209,-5.28695190370633,-5.10332410531398
0,0,0,0.1,0.9,129,-1.13445719765184,1.38977063524197,1.29979525023476,-0.0851742032078138,0.0164159277718276,-0.775156668410064,-0.107658673602694,-7.06045595220417,-6.63183785921345,-7.10577277276676,-5.25039492159158,-5.0077463578559,-3.05582671193453,-2.60544293606756
