"Mo","Nb","Ta","V","W","sph_1","sph_2","sph_3","sph_4","alloy_cnt","m_log_max_strain","m_bc_1","m_bc_2","m_bc_3","m_bc_4","var_log_max_strain","var_bc_1","var_bc_2","var_bc_3","var_bc_4"
0.9,0.1,0,0,0,0.321750554396642,0,0,0,3,0.105724402634926,1.11206106403302,0.994837719486064,-1.08560456739427,-0.11101695755754,0.000742478790061218,0.000268395897015689,0.00018921250056219,0.000195088717180405,0.000160285668741903
0.9,0,0.1,0,0,0.321750554396642,1.5707963267949,0,0,4,-0.034491454623912,1.08779932988822,0.987844367794949,-0.918478055476311,-0.303189919045253,0.00154103640615823,0.000606289450423224,0.000438393281419629,0.000344802868176699,0.000459048585562545
0.9,0,0,0.1,0,0.321750554396642,1.5707963267949,1.5707963267949,0,5,0.344657091384444,1.23370206680605,1.13426569652206,-1.02118485263371,0.0657135316971326,0.00531981535714175,0.00215496120020771,0.00170908208559713,0.000767340218290004,0.00161172531352997
0.9,0,0,0,0.1,0.321750554396642,1.5707963267949,1.5707963267949,1.5707963267949,6,0.478005599498215,1.75295694847036,1.59674362122533,-1.28817506594087,0.533779351088019,0.000102210568638307,5.19208111709214e-05,4.26216176810719e-05,5.60590874408391e-06,0.000214327507388589
0.8,0.2,0,0,0,0.463647609000806,0,0,0,9,-0.311155101734004,0.724432762867355,0.615662982435994,-0.826386874166856,-0.346064490457363,0.0181138855376464,0.005666776966847,0.00415990798629242,0.00306360688755282,0.00572829596693411
0.8,0,0.2,0,0,0.463647609000806,1.5707963267949,0,0,10,-0.248908899419266,0.709117031572012,0.653046782720564,-0.568643397909828,-0.48875804313455,0.000307540290560892,0.000109940813853133,7.88480722075268e-05,4.79135180192354e-05,0.000188464648914367
0.8,0,0,0.2,0,0.463647609000806,1.5707963267949,1.5707963267949,0,11,0.434056659865205,1.00088162928782,0.903713455780215,-0.859097803873047,-0.103663408897769,0.00018166625954011,6.3614701693079e-05,4.71129432168196e-05,6.19142217086835e-05,0.000600385605975097
0.8,0,0,0,0.2,0.463647609000806,1.5707963267949,1.5707963267949,1.5707963267949,12,0.2694945161955,1.68761161954022,1.54889125238956,-1.23355468938389,0.242008374461693,0.00108439966781713,0.000561363969044438,0.000446119469581783,8.02760829890051e-05,0.00136123766008542
0.7,0.3,0,0,0,0.579639740363704,0,0,0,13,-0.389323782852289,0.351990222686426,0.214602911214001,-0.654744068385629,-0.410138684875228,0.00393926802218075,0.000961580300649435,0.000751662701385641,0.000570662123207323,0.000311699439735561
0.7,0,0.3,0,0,0.579639740363704,1.5707963267949,0,0,14,-0.300805582237023,0.354688556379513,0.39874401192194,-0.26245261929953,-0.639349143251778,0.0163490905348741,0.00471475246605058,0.00432635853321658,0.00168193968897408,0.000300346793106303
0.7,0,0,0.3,0,0.579639740363704,1.5707963267949,1.5707963267949,0,15,0.362925215230917,0.675950286203671,0.604817329817749,-0.683731040183238,-0.30675647490183,0.000347931800008639,0.000120676410923137,0.000122096061475267,1.39536236955817e-06,0.000580032003030273
0.7,0,0,0,0.3,0.579639740363704,1.5707963267949,1.5707963267949,1.5707963267949,16,0.161908816867602,1.6853677509863,1.55946994775488,-1.18957594194997,0.109662219075629,0.00142115080886075,0.000746502609968325,0.00063050007822905,7.33584991113906e-05,0.00280360401441644
0.6,0.4,0,0,0,0.684719203002283,0,0,0,19,-0.547722430004056,0.136900084113897,-0.00981185245779454,-0.539733283154642,-0.447512676947051,0.00247271264066992,0.000472386570347587,0.000378928200720419,0.000375845163500836,0.000160694323400651
0.6,0,0.4,0,0,0.684719203002283,1.5707963267949,0,0,20,-0.238784007805684,0.0611305924459492,0.176928936275937,0.00450039153774137,-0.632736843389306,8.75069766577662e-28,2.56161791503468e-07,9.46472816364543e-07,7.64695210692718e-06,0.000195848170606963
0.6,0,0,0.4,0,0.684719203002283,1.5707963267949,1.5707963267949,0,21,0.3550369799831,0.421356360698376,0.34454968841281,-0.589692822439485,-0.414242654360713,0.0290536949204993,0.00813195683082932,0.00673087845142028,0.00263938915042891,0.00981055912031779
0.6,0,0,0,0.4,0.684719203002283,1.5707963267949,1.5707963267949,1.5707963267949,22,0.0388403462694673,1.66365255379484,1.55314863204747,-1.12904219213555,-0.0306646724424352,0.00793049343927501,0.00414712252820966,0.00342160140988026,0.000820885066356953,0.00735667828298863
0.5,0.5,0,0,0,0.785398163397448,0,0,0,31,-0.565492532055996,-0.16207063241354,-0.343510985280113,-0.454275001495279,-0.398021507930145,0.000154537423212337,2.6504337871794e-05,2.50954455496446e-05,1.2665291974097e-05,4.63204370031761e-05
0.5,0,0.5,0,0,0.785398163397448,1.5707963267949,0,0,32,-0.0673919298854946,-0.0950376423526096,-0.0189790962120041,0.219130900127311,-0.428005426198496,0.00891996769268831,0.00218438345308078,0.00243992532966711,0.000144639227748123,0.000130407472949247
0.5,0,0,0.5,0,0.785398163397448,1.5707963267949,1.5707963267949,0,33,0.385739318960676,0.201716713667071,0.113767545632291,-0.551074313711264,-0.449646676190527,0.0155455986532602,0.00365414187415358,0.00284773433218072,0.00152195443412166,0.00474450495272536
0.5,0,0,0,0.5,0.785398163397448,1.5707963267949,1.5707963267949,1.5707963267949,34,0.00687202726648305,1.69800498610327,1.60367803734911,-1.1002731046817,-0.0386626310918557,0.00843154749211449,0.00452043178302083,0.00365709840229386,0.00101288135439603,0.00845131263385903
