"Mo","Nb","Ta","V","W","alloy_cnt","m_log_max_strain","m_bc_1","m_bc_2","m_bc_3","m_bc_4","m_bc_5","m_bc_6","var_log_max_strain","var_bc_1","var_bc_2","var_bc_3","var_bc_4","var_bc_5","var_bc_6"
0.9,0.1,0,0,0,3,0.0609889677576209,1.05574287194547,0.934940452038242,-1.00298811368811,-0.152591581060385,0.830942171240089,-1.69683439642815,-7.22205083651921,-8.27825237956785,-8.64170862505921,-8.68625324005736,-8.82692642848477,-5.13141335046622,-0.686158975362721
0.9,0,0.1,0,0,4,-0.0780724626856376,1.03214458765311,0.92816928845251,-0.848310089159734,-0.336030562904284,0.700510413387156,-0.464761111540687,-6.49183468115133,-7.46304929846818,-7.80070248020489,-8.12157873859244,-7.77896218868515,-5.87395893985061,-1.42904955511363
0.9,0,0,0.1,0,5,0.297954473134277,1.17411248804488,1.06975220222627,-0.943338403363333,0.0165413373034339,1.15934494431571,-1.17247515858561,-5.25285126678475,-6.19492578741224,-6.44031186557127,-7.3194663968608,-6.53975960588007,-5.14425619276401,-0.0684928715147736
0.9,0,0,0,0.1,6,0.430205094770773,1.67938201727332,1.51691742539452,-1.19012317014175,0.464900545501054,1.99719002542955,-0.932213603607071,-9.20501005745719,-9.92046481946514,-10.1302854337949,-12.2461381767002,-8.53736760557178,-7.60682729777129,-6.55991218497718
0.7,0.3,0,0,0,13,-0.42998338129067,0.316160370234008,0.180642443514247,-0.604434085251097,-0.439241725962158,0.185431913090044,0.0275803891259952,-5.55329493735382,-7.00146149512809,-7.2605148137288,-7.62783762488727,-8.15448895108233,-5.61783265888299,-4.05736763396564
0.7,0,0.3,0,0,14,-0.34219396974716,0.31878616500644,0.358598009014952,-0.241761747243589,-0.658726405727983,-0.0899417678003543,0.0368921846242761,-4.13011759121401,-5.41177705780709,-5.51088929453372,-6.54173020950748,-8.20910566306759,-7.64591864907546,-1.7835255624949
0.7,0,0,0.3,0,15,0.316072191652487,0.631392666001938,0.55788115565608,-0.631245164216721,-0.340026890067005,0.647176798578492,-0.267715540394502,-7.98003865763214,-9.07710582652699,-9.07726819576696,-13.6131942393219,-7.53453099044948,-5.42376904873331,-3.25530648382845
0.7,0,0,0,0.3,16,0.116710803822065,1.61362125184115,1.48085742638723,-1.09883611482044,0.0599662888825231,1.59899697581787,0.132509557685833,-6.57282289006354,-7.25472672187174,-7.43606172527484,-9.67655799958239,-5.96362290787198,-4.57664406922266,-5.68664543210554
0.5,0.5,0,0,0,31,-0.604701695913555,-0.184049954974663,-0.358934799901255,-0.41905912752731,-0.429072982967795,-0.27467490928813,0.354365926481224,-8.79160885276794,-10.593167458782,-10.6609367509258,-11.4408157722232,-10.0767073546352,-6.47875989928025,-3.80926490352097
0.5,0,0.5,0,0,32,-0.110702061374272,-0.118822906170777,-0.0452878574375475,0.203495238397207,-0.459014081169431,-0.619089135157116,0.274516391169176,-4.73599753754238,-6.18107614571454,-6.08354843090001,-8.99508550027006,-9.02067581675842,-5.9546199786909,-3.53462461299877
0.5,0,0,0.5,0,33,0.338698462039899,0.169937908993544,0.0832013211267357,-0.508542237857074,-0.476240560628692,0.663933728358878,0.187676351366269,-4.18051230847773,-5.66648859109093,-5.92834246770973,-6.64539928910829,-5.43516450841856,-3.47592371418834,-4.74778368791118
0.5,0,0,0,0.5,34,-0.0370495350921212,1.62591647342798,1.52356751875976,-1.0163039878139,-0.0819381072882135,1.35002186951831,-0.013810255421851,-4.79230953741904,-5.45377086847407,-5.67820180125246,-7.05155421252113,-4.85934049660392,-3.36409919536589,-3.99447801074811
0.3,0.7,0,0,0,49,-0.531437734716454,-0.57473125646101,-0.731090845032919,-0.386760709678445,-0.470782801908785,0.00160352300419536,-0.303222143998976,-4.22087857631468,-6.43285632379239,-6.89837727177734,-6.63921911826676,-6.6836910685634,-4.89781703020972,-4.66087854978829
0.3,0,0.7,0,0,50,0.455610096474048,-0.385436393029601,-0.294395357421781,0.668304204070716,0.125433884693166,-1.14040902828868,0.498697794309788,-4.7707200766293,-6.22209727490797,-5.81932328566122,-7.42054664760463,-6.77742607643045,-8.69820769435121,-5.15278607239562
0.3,0,0,0.7,0,51,0.130105624691275,-0.307078690222826,-0.437006569247183,-0.493440031462654,-0.537366149553759,0.650251283680201,0.747052481719401,-3.47048810849678,-5.35320483588732,-5.6794757363522,-6.17507030706761,-4.67889023916628,-3.04949459252342,-1.9097781233059
0.3,0,0,0,0.7,52,-0.0239007697804421,1.73271674412701,1.66955283162277,-0.9850785139776,-0.053574827179901,1.44979177213589,-0.0344139486192432,-6.51625005436615,-7.10325816519636,-7.23814449899272,-9.80396134350848,-6.09917305632625,-4.43609307931178,-3.69549935590709
0.1,0.9,0,0,0,64,-0.16268819372171,-0.770590592225998,-0.997064055733477,-0.53886860542337,-0.310508789349442,0.240326473248127,-0.208448484542399,-4.54305050198869,-7.06592269373097,-7.79984533994681,-6.97289753032917,-6.12460311706037,-5.19360938569028,-1.90185820328332
0.1,0,0.9,0,0,65,1.6298058278034,-0.354464786026577,0.00747632040195119,1.8951428110978,1.72876973433117,-1.12591601499082,-1.06292894905169,-6.35355203996332,-7.2586087149502,-6.34909289060263,-5.76541005603287,-5.76163370126608,-6.96593247576202,-4.46269832534372
0.1,0,0,0.9,0,66,-0.18507171222429,-0.706059151225045,-0.916359711856877,-0.557075300073013,-0.500602858803234,0.318612869037812,0.241483871425272,-5.65573918611225,-8.06000719584011,-8.66321050855968,-7.89322562266592,-7.0786756030255,-7.20595044089757,-2.31583237804806
0.1,0,0,0,0.9,67,0.292325721054186,2.08508850583882,2.04209703588694,-0.996575036651264,0.426708280960433,2.11030033816739,-1.03738649740924,-7.59172310428523,-8.03457902363899,-8.05975278663333,-11.7917440702171,-7.01277663985181,-6.99447422600888,-2.99992925099759
0,0.9,0.1,0,0,69,0.977002559629917,-0.616100862721305,-0.917371075795109,-0.595211520488385,0.676693662517005,1.26917463692132,-1.15608217624959,-4.84440587331201,-7.14896365894016,-7.39215719256973,-9.51716829715337,-4.32838539875703,-4.69568064824244,-2.76708268007524
0,0.9,0,0.1,0,70,-0.652034628406092,-1.12760507441007,-1.26372673897918,-0.16514138047541,-0.561146787927546,-0.441712324970559,1.06852158819875,-4.39360890192993,-7.19399214361325,-7.7106579856007,-7.11973373908767,-7.81485319375131,-5.62016738943757,-4.93363765796165
0,0.9,0,0,0.1,71,-0.114422920923212,-0.715828680618089,-0.940493015112943,-0.571218920864684,-0.289943459246771,0.387733694611579,0.208265658791095,-4.12170017342312,-6.60530786291228,-7.32491547208037,-6.65474825614222,-5.52244902196379,-4.88225619920337,-2.86828615671984
0,0.7,0.3,0,0,75,1.41624557265928,-0.513575092375781,-0.709885796323399,-0.0229742055049932,1.32794267758041,0.879142606250343,-1.35478486301225,-7.40816450226746,-9.2943170952146,-8.97344889789031,-8.77110552275709,-6.58554935277612,-6.40819541237955,-2.05338719196631
0,0.7,0,0.3,0,76,-1.40003798089259,-1.43050025771698,-1.46726951657943,0.315601224469421,-0.634421252809766,-1.03491314206067,1.45680251013769,-3.743861543314,-6.68680355431377,-6.66165285415702,-7.80193970296682,-9.38933186854062,-7.14051950357955,-9.59698226678237
0,0.7,0,0,0.3,77,-0.320971934091535,-0.390171461124457,-0.541016442194041,-0.491631356799791,-0.39281040783437,0.206920716943536,0.256523472783222,-6.70294872292922,-8.90853667192703,-9.29861162873812,-9.18404669887596,-8.20263532413817,-7.15449824042794,-3.86981624491247
0,0.5,0.5,0,0,81,1.76857718880614,-0.398676800104284,-0.410861852208748,0.790043217944761,2.01605598033084,0.426540619347658,-0.994852972044654,-5.36972843545288,-6.73365109775599,-6.01333518017296,-5.2816083708683,-4.19469385552933,-7.40824558716111,-2.99097964082618
0,0.5,0,0.5,0,82,-1.8400616461832,-1.52636516646098,-1.53210877680051,0.46547727976887,-0.666560745689433,-1.15837689079181,1.49497009071179,-4.57659299206532,-7.5032139568611,-7.37871604063345,-9.28041628648694,-9.14521115497215,-8.09648862421052,-5.66481315195689
0,0.5,0,0,0.5,83,-0.464774730405108,0.0507309090024418,-0.0337757374235493,-0.489352547400793,-0.47649341613703,0.0961453866641809,0.527390002045632,-4.80620488166156,-5.4466040416573,-5.57777992116749,-6.60240444848905,-7.12289299680387,-4.95545083047504,-4.89663728705665
0,0.3,0.7,0,0,90,2.02076915665097,-0.29179507749805,-0.0606163302661386,1.75523134803154,2.6271867698869,-0.27182180429311,-1.22086778193208,-5.64638026950304,-6.53128357843894,-5.59142785303277,-4.70353995827386,-4.3297053576998,-9.40105130075549,-4.11853163790459
0,0.3,0,0.7,0,91,-2.17508707838037,-1.49571186584023,-1.50503172122142,0.408779472884019,-0.72359564248576,-1.16298472448128,1.39966039733828,-2.5079552472791,-5.40485270589822,-5.39164551021325,-6.37667889825453,-6.15983494464251,-8.58352996995963,-5.29391956559553
