"Mo","Nb","Ta","V","W","alloy_cnt","m_log_max_strain","m_bc_1","m_bc_2","m_bc_3","m_bc_4","var_log_max_strain","var_bc_1","var_bc_2","var_bc_3","var_bc_4"
0,0.9,0.1,0,0,69,1.34465994694093,0.142464645740031,-0.15911302120094,-1.23704130016605,1.47760533418332,0.000251628475312293,0.000200990938502585,8.00504047426012e-05,0.000790101015289544,0.000644009527068819
0,0.9,0,0.1,0,70,0.546283543147713,-0.90912868296632,-0.992920295875689,0.04287237386563,0.757047153506628,0.000373625609086369,0.000190401585847171,0.000100404239202194,0.000921200424072085,8.2049779113563e-05
0,0.9,0,0,0.1,71,0.183948714228367,-0.606557481304678,-0.735873966688565,-0.342040177485424,0.638707340100321,0.00180443201685361,0.0010898794003902,0.000468292788178957,0.00644233741857883,0.000534819782380153
0,0.7,0.3,0,0,75,1.36573924190966,0.181706656534184,0.0579505287700379,-0.658993263130374,1.02994811913488,0.00338333054125035,0.00319198078321471,0.00162098630865953,0.00907457257992046,0.00096894515129222
0,0.7,0,0.3,0,76,0.355280357428843,-1.67491584967475,-1.58098550883706,1.02024729424685,0.701365766963008,0.00415856506508195,0.00180669192887209,0.000850731156511171,0.00616655316415509,0.000578222558956589
0,0.7,0,0,0.3,77,-0.147537820967986,-0.338368636013643,-0.570054806798074,-1.321003172141,-0.434272261745667,0.00680954162152171,0.00383159458875969,0.000961510278860295,0.0539492307792886,0.00924691488133139
0,0.5,0.5,0,0,81,1.52098182125272,0.392289589349274,0.392563633024656,-0.28489065321433,0.48434618514182,0.00126456167840715,0.00140612873845579,0.000811669646263329,0.00369891223193358,0.000100828466546098
0,0.5,0,0.5,0,82,0.296139427635318,-2.00817101020854,-1.88150345995935,1.31818647823454,1.02032542480675,0.00576395338541981,0.00202765311197353,0.00117951630665627,0.00482970281049348,0.000454030662127486
0,0.5,0,0,0.5,83,-0.706105445153898,-0.462144898263794,-0.349001454734953,-0.232634821692916,-0.760602201390673,0.00192416528397339,0.0012863025842022,0.000501685471873071,0.0134603051159291,0.0103007464554122
0,0.3,0.7,0,0,90,1.63639884876581,0.613428675063271,0.721558651545632,0.128741218761526,-0.206840991935696,0.000507844580463203,0.000664963091144682,0.000376159043357542,0.00232306834748456,0.000696827033992834
0,0.3,0,0.7,0,91,-0.0352626487396582,-2.01613013479597,-1.93055037152902,1.24251536977552,1.25099120475541,0.0206147272559291,0.00642243533465514,0.00391176358115997,0.0123097449600886,0.00021936082399692
0,0.3,0,0,0.7,92,-1.08392129859972,0.520097637210026,0.45549858308176,-0.290144212128505,-0.274709222676105,0.000837192162623773,0.000905848458693813,0.000358445276207443,0.00494747540733668,0.0011797958930814
0,0.1,0.9,0,0,97,1.76239040334821,0.887238835195438,1.0778781625861,0.459731028885886,-1.02743234426769,5.68571497438044e-28,1.28820472134709e-06,1.37607139769183e-07,2.51534033440513e-06,2.9486476308666e-05
0,0.1,0,0.9,0,98,0.167661064855685,-1.22869399404315,-1.2344727084222,0.43210325950799,1.2909986710856,0.00124925640078348,0.000677468347588307,0.000356536684714112,0.0020920412227315,2.30642539165712e-05
0,0.1,0,0,0.9,99,-1.23761893883382,1.41588021988208,1.4034527566805,-0.0700019815014373,0.0571077983818474,0.00272174859495545,0.00450371031828316,0.00289903216230406,0.0119691875230623,0.00646002097568148
0,0,0.9,0.1,0,101,1.44958602909137,-0.25010672377167,0.0660118096047648,1.63045700410879,-1.11256030146925,0.00812251842983552,0.00905929280776491,0.00586269248690114,0.0254636349587209,0.0187349878583077
0,0,0.9,0,0.1,102,1.28282125406462,0.331820619352911,0.372431420626528,-0.326164976114394,-1.58495665133603,0.00322204041560574,0.00335581462314702,0.00147787239593552,0.0239801279189621,0.00447573950688266
0,0,0.7,0.3,0,105,1.55310554980422,-1.30369199834832,-1.05920753956671,1.96404535530534,-0.659766771052486,0.000403176439913567,0.00029728466791249,0.000163873470210361,0.000936077822341266,0.00147368414709727
0,0,0.7,0,0.3,106,0.770704126363211,0.118941159874402,-0.0820161292800679,-2.21201858669344,-2.66936527928156,0.00236711715397748,0.00145214683379992,0.000136533347575815,0.0425256578272865,0.0130484818997978
0,0,0.5,0.5,0,109,1.3099077186837,-1.96083937424731,-1.78872170659182,2.04581843418265,0.708725144636696,0.0123132047412248,0.0046235943566232,0.00354234520204284,0.00897115775768603,0.0129519404891369
0,0,0.5,0,0.5,110,-0.107356976813424,0.104285225354068,0.11361841838734,-0.970885844870836,-1.69252694099012,5.65899943715688e-28,1.36578159783436e-06,7.24616128364491e-06,5.00417877368841e-05,0.000117205846179561
0,0,0.3,0.7,0,114,0.710211331264627,-1.9986352936185,-1.93808945893356,1.40664980229906,1.41491851348791,0.00414511668972984,0.00143200577537083,0.000778033549672338,0.00248863297699553,0.000114833469118797
0,0,0.3,0,0.7,115,-0.808866415037323,0.539560511096879,0.56818273176861,-0.127339422872252,-0.472841702274122,1.62895462845064e-27,2.15825574232887e-06,5.0564695869282e-06,0.00019540680418755,0.00107879753382084
0,0,0.1,0.9,0,118,0.166578476640415,-1.32681112509393,-1.37509777972449,0.551114318381251,1.48304997329959,0.0142733833871732,0.00650975909880177,0.00365671083978291,0.0141660573923246,0.00153686977431957
0,0,0.1,0,0.9,119,-1.18563420641335,1.40990956912482,1.3980819653413,-0.00303951930641352,0.0975117101736402,0.000880396237182993,0.00143898675115874,0.00090589102510438,0.00447301206705632,0.00146419250165116
0,0,0,0.9,0.1,121,0.35887336703954,-0.560321570125232,-0.657093219989509,0.217050558066081,1.39522337331521,0.00794957013485406,0.00540836962327131,0.00327943473722178,0.00933403479931792,0.00259116692735246
0,0,0,0.7,0.3,123,0.45176753941231,-0.175580313217866,-0.164914642013023,0.216083206723429,0.798623429520574,0.00397567488593964,0.00352304368169864,0.00190780079718652,0.0113219390675436,0.000652646068204969
0,0,0,0.5,0.5,125,0.0891582318610566,0.269986387444645,0.220499508752166,-0.264800748465174,0.106972206249067,0.00131220384648366,0.00126648069616321,0.000579981784409078,0.00882031725923574,0.00308657653130013
0,0,0,0.3,0.7,127,-0.478794473621635,0.715855163619117,0.648953500576409,-0.482748321593553,-0.181186550983143,0.000620570037225589,0.000811475014390513,0.000374937954142549,0.00435872350155195,0.002043020402129
0,0,0,0.1,0.9,129,-1.13445719765184,1.38977961649134,1.29998858183101,-0.0847621208573208,0.0236358885921527,0.000858386621462659,0.00131909822054569,0.000824144867291143,0.00515992218277927,0.00632869241511707
