"Mo","Nb","Ta","V","W","alloy_cnt","m_log_max_strain","m_bc_1","m_bc_2","m_bc_3","m_bc_4","var_log_max_strain","var_bc_1","var_bc_2","var_bc_3","var_bc_4"
0.9,0.1,0,0,0,3,0.0609889677576209,1.05575373530208,0.934901142874084,-1.00273128536057,-0.154998342110668,0.000730303149658506,0.000254128247103115,0.000176839223365971,0.00016674034016089,0.000145550963876554
0.9,0,0.1,0,0,4,-0.0780724626856376,1.03214567130975,0.928140316918197,-0.848223768027044,-0.338125383529795,0.0015157655090228,0.000574059726643872,0.00040972518826591,0.000294699500612681,0.000416849270550723
0.9,0,0,0.1,0,5,0.297954473134277,1.17411743347874,1.06969320364223,-0.943175622523104,0.0134131314661312,0.00523257763444257,0.00204040567860095,0.0015973191400552,0.000655837871436155,0.00146356299181226
0.9,0,0,0,0.1,6,0.430205094770773,1.67938232515962,1.51679394953083,-1.19000656835585,0.459446267610277,0.000100534454592014,4.91607542356244e-05,3.98344387761238e-05,4.79131312363402e-06,0.00019462485654847
0.7,0.3,0,0,0,13,-0.42998338129067,0.31616105185561,0.18060878401068,-0.604403184959669,-0.440039882417937,0.00387466939454316,0.000910463680592858,0.00070250880862132,0.000487739106165399,0.000283045603823419
0.7,0,0.3,0,0,14,-0.34219396974716,0.318786685873313,0.358627277602756,-0.241731953603999,-0.658461000455937,0.0160809877285332,0.00446412107280641,0.00404344258832572,0.00143753672648481,0.000272736580737275
0.7,0,0,0.3,0,15,0.316072191652487,0.63139284298934,0.557848752223557,-0.631201476840876,-0.341524055314914,0.00034222619260506,0.000114261377001598,0.000114111766522705,1.19260200953941e-06,0.000526710951658736
0.7,0,0,0,0.3,16,0.116710803822065,1.61361414511648,1.48075960860237,-1.09885223452656,0.0552930766549487,0.00139784587215638,0.00070681929879897,0.000589269439571536,6.26987622467901e-05,0.00254587493585325
0.5,0.5,0,0,0,31,-0.604701695913555,-0.184049752974885,-0.358948081483839,-0.419070663674229,-0.428493082352378,0.000152003220055316,2.50953945230912e-05,2.34543652657005e-05,1.08248960909669e-05,4.2062302300099e-05
0.5,0,0.5,0,0,32,-0.110702061374272,-0.118822794773503,-0.0452067288342365,0.203489292992169,-0.457065604730804,0.00877369237750923,0.00206826387476414,0.00228036994959262,0.000123621675224962,0.000118419404139194
0.5,0,0,0.5,0,33,0.338698462039899,0.169936276820645,0.0831261480719866,-0.508561081672222,-0.477688162935516,0.0152906720188827,0.00345989144942277,0.0026615108735373,0.00130079895814862,0.0043083531697287
0.5,0,0,0,0.5,34,-0.0370495350921212,1.62591090236998,1.52349779949995,-1.01629226532231,-0.0860498613412664,0.0082932816026688,0.00428013027748012,0.00341794775352074,0.000865699380341108,0.00767440226899524
0.3,0.7,0,0,0,49,-0.531437734716454,-0.574723590391586,-0.731179618584584,-0.386669031465124,-0.471049251288271,0.0146857362952358,0.00160773838294078,0.0010090333777022,0.00130964378752101,0.00123668699829743
0.3,0,0.7,0,0,50,0.455610096474048,-0.385437565112185,-0.294256603944072,0.66825940388159,0.128720551730045,0.00847427583444731,0.00198509201736284,0.00297023512961117,0.000599109257054847,0.00113909516045577
0.3,0,0,0.7,0,51,0.130105624691275,-0.307082821229838,-0.437136640917574,-0.493534862691846,-0.538964563518023,0.0311018458802125,0.0047333315191626,0.00341344527254497,0.00207608723436007,0.00919600006532416
0.3,0,0,0,0.7,52,-0.0239007697804421,1.73271085694174,1.66948209722456,-0.985064610304319,-0.0579828547934363,0.0014792056557693,0.000822335398999761,0.000718088834065298,5.55681201999512e-05,0.00221788362335237
0.1,0.9,0,0,0,64,-0.16268819372171,-0.770584116030372,-0.997198249530998,-0.538811868987236,-0.311296157142712,0.010640896916172,0.000853847215291217,0.000409637377123239,0.000934330879450551,0.00217589817799724
0.1,0,0.9,0,0,65,1.6298058278034,-0.354457802368009,0.00764280017080583,1.89524854593487,1.73130888851727,0.00174055362693558,0.000704076498358517,0.00174869309982696,0.00313390147600949,0.00314356241467231
0.1,0,0,0.9,0,66,-0.18507171222429,-0.706056862554454,-0.916499817000743,-0.5570867457172,-0.501563258065128,0.00349738691125845,0.000316015279902965,0.000172835181558703,0.000371569482247871,0.000840243466902308
0.1,0,0,0,0.9,67,0.292325721054186,2.085088377886,2.04199213320247,-0.996436572572513,0.420706365248819,0.000504610807372148,0.000324099231850262,0.00031601114218337,7.4057984864266e-06,0.000897561382595755
0,0.9,0.1,0,0,69,0.977002559629917,-0.616091112061344,-0.917576630185868,-0.595087450790923,0.673841346013961,0.00787229320534389,0.000785749861305406,0.000615872869039867,7.40050074359826e-05,0.0131480137929082
0,0.9,0,0.1,0,70,-0.652034628406092,-1.12760781037289,-1.26379347870986,-0.165267815126031,-0.559963364469555,0.0123560568623918,0.000751048228023243,0.000447804092687714,0.000809515856064363,0.000397603161011298
0,0.9,0,0,0.1,71,-0.114422920923212,-0.715826218551562,-0.940642149313569,-0.571228075818349,-0.291144741843113,0.0162169194150371,0.00135329087859471,0.000658678660131897,0.00128561938973688,0.00397450035025054
0,0.7,0.3,0,0,75,1.41624557265928,-0.513565629245517,-0.710004590390661,-0.0228455490440714,1.32616813244233,0.000606282504022424,9.19857079398536e-05,0.00012684550473178,0.000156069735576271,0.00138470157619829
0,0.7,0,0.3,0,76,-1.40003798089259,-1.43050545539438,-1.46726036665682,0.31541290713317,-0.631295319460243,0.0236625525102857,0.00124726330143903,0.00127895921510939,0.000408844980653236,8.46660935250061e-05
