alloy_rep_id,alloy_cnt.x,log_max_stress,log_max_strain,bc_1,bc_2,bc_3,bc_4,bc_5,bc_6,toughness,young_mod,frac_stress,gcv,alloy,Mo,Nb,Ta,V,W,rep,Experiment,alloy_cnt.y
0.2_0.2_0.2_0.2_0.2_1,59,2.24086980507376,-2.777400279237,5.41386334148995,2.75479399122945,-0.309643057172451,-0.0662246845557108,-0.003628107612592,-0.0119224852227847,0.334873608150676,190.238928829855,9.26103877143893,3.54275852631898,Mo_Nb_Ta_V_W,0.2,0.2,0.2,0.2,0.2,1,0,59
0.2_0.8_0_0_0_1,58,2.23065994346932,-2.76145097782934,5.46283352587015,2.7233110650518,-0.377181447729014,-0.0459168891099696,-0.00148675786082161,-0.00278340949489623,0.343408242782893,196.884263334067,9.19298863648005,1.8406759290248,MoNb,0.2,0.8,0,0,0,1,0,58
0.2_0.8_0_0_0_2,58,2.23724599099743,-2.74264164587183,5.5331237207049,2.74146979601262,-0.394554617149394,-0.0467303254409539,-0.00061104271263855,-0.00343717497706306,0.354469699841106,196.841570467331,9.25498679273309,1.87032344958636,MoNb,0.2,0.8,0,0,0,2,0,58
0.2_0.8_0_0_0_3,58,2.24296699108131,-2.7333680090865,5.56870844978826,2.75087484912277,-0.407875201079891,-0.0495351829342075,0.000677463259502101,-0.000765028828593499,0.360098677997328,196.532664508325,9.28213668978458,1.83179062361433,MoNb,0.2,0.8,0,0,0,3,0,58
0.2_0_0.8_0_0_1,60,2.33983611452563,-2.46040917818761,6.07119533012479,3.04323362267567,-0.476018745532263,-0.0979859647148572,0.0357301082503223,0.0120343538889283,0.516441412214371,157.824549348961,10.155427026996,3.9766451962824,MoTa,0.2,0,0.8,0,0,1,0,60
0.2_0_0.8_0_0_2,60,2.34040520551857,-2.46040917818762,6.07104002761504,3.04114261453085,-0.479237949312377,-0.100182068389202,0.0352092920374889,0.0113825259246937,0.516431927592857,157.80885445329,10.1354190079697,3.94572136556701,MoTa,0.2,0,0.8,0,0,2,0,60
0.2_0_0.8_0_0_3,60,2.3679665933269,-2.39250980052203,6.34997513632629,3.10866249005562,-0.555743141387202,-0.0838650369561038,0.0581871940290994,0.0160082829145561,0.57828257286527,157.723031108897,10.4849394519926,4.06084650853973,MoTa,0.2,0,0.8,0,0,3,0,60
0.2_0_0_0.8_0_1,61,2.31533935435427,-2.67655153404285,5.53407621959798,2.90546938820379,-0.242919172785378,0.00327548116422324,0.00387694974096705,-0.00671889625241864,0.378743400898072,181.034777760554,10.0024508892517,1.46409575877765,MoV,0.2,0,0,0.8,0,1,0,61
0.2_0_0_0.8_0_2,61,2.31331534747465,-2.67075441635851,5.55963309648021,2.91806283774144,-0.24520204575439,0.00443435041564501,0.00450762530692053,-0.00577789404017117,0.382716107138997,181.016193857569,10.0523875721033,1.40946856390593,MoV,0.2,0,0,0.8,0,2,0,61
0.2_0_0_0.8_0_3,61,2.32476448167173,-2.66212126921381,5.59968969873456,2.93259870100885,-0.250148411591541,0.00430137248608093,0.00512697507731674,-0.00460733096004189,0.388835731408748,180.721254641069,10.111740457106,1.44176997344811,MoV,0.2,0,0,0.8,0,3,0,61
