alloy_rep_id,alloy_cnt.x,log_max_stress,log_max_strain,bc_1,bc_2,bc_3,bc_4,bc_5,bc_6,toughness,young_mod,frac_stress,gcv,alloy,Mo,Nb,Ta,V,W,rep,Experiment,alloy_cnt.y
0.155247433960763_0.472074473566897_0.353462382084521_0.00757081036969871_0.0116449000181209_1,63,2.84402147988781,-2.28671174383776,9.20284759362317,4.97634172064449,-0.387550898793356,-0.00540784601266197,0.0535103683833938,-0.0256711329843417,0.931609679415257,197.994179496512,16.9919280486279,4.02274900833301,MoNbTaVW,0.155247433960763,0.472074473566897,0.353462382084521,0.00757081036969871,0.0116449000181209,1,7,63
0.155247433960763_0.472074473566897_0.353462382084521_0.00757081036969871_0.0116449000181209_2,63,2.85819791075889,-2.26336437984076,9.394205475123,5.06331237741336,-0.398522642702259,0.00525886941881418,0.0553958530684847,-0.0261110927313868,0.97352874685891,198.462138813966,17.3413016122738,4.01036800531463,MoNbTaVW,0.155247433960763,0.472074473566897,0.353462382084521,0.00757081036969871,0.0116449000181209,2,7,63
0.155247433960763_0.472074473566897_0.353462382084521_0.00757081036969871_0.0116449000181209_3,63,2.85864316515122,-2.26915031690781,9.33949505454356,5.04144912472938,-0.394694423765366,0.000361928726359183,0.0559821287260541,-0.0263844406168532,0.962252956210393,197.61155654073,17.2453639178941,4.15292599406956,MoNbTaVW,0.155247433960763,0.472074473566897,0.353462382084521,0.00757081036969871,0.0116449000181209,3,7,63
0.1_0.9_0_0_0_1,64,2.62146740349331,-2.30659311439159,7.97394639169343,3.94782214669473,-0.555619312443475,0.0132497803766581,0.0436620379307706,-0.00694470639480854,0.791462713697346,191.163273950051,13.6951731687406,1.21734761081017,MoNb,0.1,0.9,0,0,0,1,100,64
0.1_0.9_0_0_0_2,64,2.64431260974316,-2.26528930825035,8.21495229473997,4.03336094607742,-0.58804841283794,0.0281726629072189,0.0477484125436424,-0.0107129707039394,0.849897932797617,191.10660487211,14.0513642460754,1.22038095354916,MoNb,0.1,0.9,0,0,0,2,100,64
0.1_0.9_0_0_0_3,64,2.63922278966677,-2.28278246569787,8.11366238261965,3.99776059105279,-0.575252833836629,0.0211112931992155,0.0477115934712738,-0.00704833054322772,0.824808174191649,191.046471122448,13.909729617606,1.20371657107575,MoNb,0.1,0.9,0,0,0,3,100,64
0.1_0_0.9_0_0_1,65,3.13993915703279,-1.92277973166646,9.84882624042108,6.14362138304586,0.730817503648829,0.346995310190313,0.00219018334859268,-0.0136620540433224,1.43530618800086,136.004895399241,22.9475056137969,4.13093251725421,MoTa,0.1,0,0.9,0,0,1,100,65
0.1_0_0.9_0_0_2,65,3.14797063610151,-1.9173226922034,9.91987899816397,6.20336155110339,0.753014183843171,0.354831660654639,0.00388869730793653,-0.0125476569130797,1.45357959606195,136.000234874289,23.2001822539143,4.11158335405595,MoTa,0.1,0,0.9,0,0,2,100,65
0.1_0_0.9_0_0_3,65,3.11415853808771,-1.93378396925747,9.70422442533097,6.02873389230877,0.693874659418828,0.33697507010037,0.00384482729036316,-0.0127360071609422,1.39872746740838,135.979162735933,22.503623655536,4.12657976512959,MoTa,0.1,0,0.9,0,0,3,100,65
0.1_0_0_0.9_0_1,66,2.67785295481701,-2.27691734624547,8.44812291022131,4.1959461334044,-0.590883583335591,-0.00415217302132786,0.0497887279289353,-0.00750876617854877,0.863872748418465,193.465180357757,14.4909452135338,1.11774172763225,MoV,0.1,0,0,0.9,0,1,100,66
0.1_0_0_0.9_0_2,66,2.66395153568348,-2.30058709033137,8.30324045021241,4.14326886618759,-0.571113262481839,-0.0118530049796771,0.048622787463153,-0.004020111058464,0.829121355395546,193.404765804998,14.2860987153987,1.1219302777145,MoV,0.1,0,0,0.9,0,2,100,66
0.1_0_0_0.9_0_3,66,2.66358431843918,-2.29065652212877,8.35300170866417,4.15364270070058,-0.586070945626685,-0.0124652385626509,0.0481136595163954,-0.00567911640863417,0.842454810391319,193.248922909166,14.3126507290686,1.1214501056672,MoV,0.1,0,0,0.9,0,3,100,66
0.1_0_0_0_0.9_1,67,3.60943284279841,-2.19283422903492,19.9384927662525,10.4496319624024,-0.81634113079282,0.139538134581989,0.106046310422301,-0.0119220080345765,2.21776949322899,406.881167145381,36.7977782783615,2.40422809735346,MoW,0.1,0,0,0,0.9,1,100,67
