"Mo","Nb","Ta","V","W","alloy_cnt","m_log_max_strain","m_bc_1","m_bc_2","m_bc_3","m_bc_4","var_log_max_strain","var_bc_1","var_bc_2","var_bc_3","var_bc_4"
0.3,0,0,0,0.7,52,-0.0239007697804421,1.73271085694174,1.66948209722456,-0.985064610304319,-0.0579828547934363,-6.51625005436615,-7.10336221814863,-7.23891727224435,-9.79790089885031,-6.1112018606134
0.1,0.9,0,0,0,64,-0.16268819372171,-0.770584116030372,-0.997198249530998,-0.538811868987236,-0.311296157142712,-4.54305050198869,-7.0657582849923,-7.80023823565997,-6.97567992181723,-6.13031374428307
0.1,0,0.9,0,0,65,1.6298058278034,-0.354457802368009,0.00764280017080583,1.89524854593487,1.73130888851727,-6.35355203996332,-7.25862354526849,-6.3488865701397,-5.76547657268047,-5.76239859518563
0.1,0,0,0.9,0,66,-0.18507171222429,-0.706056862554454,-0.916499817000743,-0.5570867457172,-0.501563258065128,-5.65573918611225,-8.05971999142308,-8.66317212533414,-7.89777467967189,-7.0818188665725
0.1,0,0,0,0.9,67,0.292325721054186,2.085088377886,2.04199213320247,-0.996436572572513,0.420706365248819,-7.59172310428523,-8.03446081792059,-8.05973308492503,-11.8132472853453,-7.01582904707618
0,0.9,0.1,0,0,69,0.977002559629917,-0.616091112061344,-0.917576630185868,-0.595087450790923,0.673841346013961,-4.84440587331201,-7.14887205879898,-7.39246999715912,-9.51137779899567,-4.33148457413081
0,0.9,0,0.1,0,70,-0.652034628406092,-1.12760781037289,-1.26379347870986,-0.165267815126031,-0.559963364469555,-4.39360890192993,-7.1940406898556,-7.71115471429759,-7.11907419755928,-7.83005613298383
0,0.9,0,0,0.1,71,-0.114422920923212,-0.715826218551562,-0.940642149313569,-0.571228075818349,-0.291144741843113,-4.12170017342312,-6.60521596502519,-7.32527475978807,-6.6565146614076,-5.52785623682668
0,0.7,0.3,0,0,75,1.41624557265928,-0.513565629245517,-0.710004590390661,-0.0228455490440714,1.32616813244233,-7.40816450226746,-9.29387734146291,-8.97254071021518,-8.7652076276749,-6.58227063100839
0,0.7,0,0.3,0,76,-1.40003798089259,-1.43050545539438,-1.46726036665682,0.31541290713317,-0.631295319460243,-3.743861543314,-6.68680348666662,-6.66170864500224,-7.8021744941756,-9.37679534902645
0,0.7,0,0,0.3,77,-0.320971934091535,-0.390170278111141,-0.541112412923273,-0.491639890674983,-0.393600065777014,-6.70294872292922,-8.90833846350117,-9.29900496834927,-9.1882317469902,-8.21054737655993
0,0.5,0.5,0,0,81,1.76857718880614,-0.39867086580768,-0.410891721758671,0.790122576214013,2.01522161879088,-5.36972843545288,-6.73359277152833,-6.01316007548331,-5.28104112198644,-4.19567453091024
0,0.5,0,0.5,0,82,-1.8400616461832,-1.5263705230608,-1.53208270884628,0.46528016226645,-0.662959265548808,-4.57659299206532,-7.50327733864181,-7.37879993827932,-9.27816077691141,-9.13357516615083
0,0.5,0,0,0.5,83,-0.464774730405108,0.0507038037101372,-0.0337326434644565,-0.489821647988727,-0.475329260856162,-4.80620488166156,-5.44718478623987,-5.57578516390515,-6.58341592269453,-7.00711495923218
0,0.3,0.7,0,0,90,2.02076915665097,-0.29178873897264,-0.0605385515674694,1.75532995475369,2.62761704777809,-5.64638026950304,-6.53126244413793,-5.59118812220419,-4.70332678507986,-4.32998584867699
0,0.3,0,0.7,0,91,-2.17508707838037,-1.49571632048406,-1.50500341871536,0.408599823483704,-0.719970358060458,-2.5079552472791,-5.40484311859574,-5.39138227017397,-6.37712684850474,-6.16340316444286
